"filename", "language", "Lighter", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\Kamilek\Desktop\.mafinek-do-code\Lighter\Errors.js", "JavaScript", 0, 21, 0, 0, 2, 23
"c:\Users\Kamilek\Desktop\.mafinek-do-code\Lighter\Events.js", "JavaScript", 0, 4, 0, 6, 3, 13
"c:\Users\Kamilek\Desktop\.mafinek-do-code\Lighter\Testing.lighter", "Lighter", 5, 0, 0, 0, 1, 6
"c:\Users\Kamilek\Desktop\.mafinek-do-code\Lighter\cli.js", "JavaScript", 0, 3, 0, 0, 0, 3
"c:\Users\Kamilek\Desktop\.mafinek-do-code\Lighter\package-lock.json", "JSON", 0, 0, 35, 0, 1, 36
"c:\Users\Kamilek\Desktop\.mafinek-do-code\Lighter\parse.js", "JavaScript", 0, 3, 0, 0, 2, 5
"c:\Users\Kamilek\Desktop\.mafinek-do-code\Lighter\run.js", "JavaScript", 0, 98, 0, 8, 16, 122
"c:\Users\Kamilek\Desktop\.mafinek-do-code\Lighter\specialForms\call.js", "JavaScript", 0, 53, 0, 0, 7, 60
"c:\Users\Kamilek\Desktop\.mafinek-do-code\Lighter\specialForms\concat.js", "JavaScript", 0, 13, 0, 0, 5, 18
"c:\Users\Kamilek\Desktop\.mafinek-do-code\Lighter\specialForms\define.js", "JavaScript", 0, 11, 0, 0, 1, 12
"c:\Users\Kamilek\Desktop\.mafinek-do-code\Lighter\specialForms\do.js", "JavaScript", 0, 10, 0, 0, 2, 12
"c:\Users\Kamilek\Desktop\.mafinek-do-code\Lighter\specialForms\function.js", "JavaScript", 0, 18, 0, 0, 3, 21
"c:\Users\Kamilek\Desktop\.mafinek-do-code\Lighter\specialForms\if.js", "JavaScript", 0, 13, 0, 0, 2, 15
"c:\Users\Kamilek\Desktop\.mafinek-do-code\Lighter\specialForms\js.js", "JavaScript", 0, 7, 0, 0, 1, 8
"c:\Users\Kamilek\Desktop\.mafinek-do-code\Lighter\specialForms\log.js", "JavaScript", 0, 11, 0, 0, 2, 13
"c:\Users\Kamilek\Desktop\.mafinek-do-code\Lighter\specialForms\loop.js", "JavaScript", 0, 11, 0, 0, 3, 14
"c:\Users\Kamilek\Desktop\.mafinek-do-code\Lighter\specialForms\require.js", "JavaScript", 0, 15, 0, 0, 3, 18
"c:\Users\Kamilek\Desktop\.mafinek-do-code\Lighter\specialForms\while.js", "JavaScript", 0, 12, 0, 0, 4, 16
"c:\Users\Kamilek\Desktop\.mafinek-do-code\Lighter\test.js", "JavaScript", 0, 11, 0, 30, 5, 46
"Total", "-", 5, 314, 35, 44, 63, 461
